2025-01-29 12:12 Аффинаж - Расход - Тверская 20 === Запись занесена: admin, ID записи: 1998
2025-09-04 17:18 Аффинаж Ag - Расход - Тверская 20 === Запись занесена: admin, ID записи: 11934
2025-09-09 16:15 Отправлен аффинаж по серебру:  === Оператор: admin, ID записи: 11934
2025-09-09 16:16 Отправлен аффинаж по серебру: 2025-09-04 17:18 Аффинаж Ag - Расход - Тверская 20 === Оператор: admin, ID записи: 11934
2025-09-10 15:35 Закрыт аффинаж Ag: 2025-09-04 17:18 Аффинаж Ag - Расход - Тверская 20 === Закрыл: admin, ID записи: 11934
2025-12-19 12:40 Аффинаж Au - Расход - Тверская 14 === Запись занесена: admin, ID записи: 12008
2025-12-19 12:40 Отправлен аффинаж по золоту: 2025-12-19 12:40 Аффинаж Au - Расход - Тверская 14 === Оператор: admin, ID записи: 12008
2025-12-19 12:41 Аффинаж Ag - Расход - Тверская 14 === Запись занесена: admin, ID записи: 12024
2025-12-19 12:41 Отправлен аффинаж по серебру: 2025-12-19 12:41 Аффинаж Ag - Расход - Тверская 14 === Оператор: admin, ID записи: 12024
2025-12-19 13:04 Закрыт аффинаж Au: 2025-12-19 12:40 Аффинаж Au - Расход - Тверская 14 === Закрыл: admin, ID записи: 12008
2025-12-19 13:31 Аффинаж Au - Расход - Тверская 14 === Запись занесена: admin, ID записи: 12029
2025-12-19 13:31 Отправлен аффинаж по золоту: 2025-12-19 13:31 Аффинаж Au - Расход - Тверская 14 === Оператор: admin, ID записи: 12029
2025-12-19 13:38 Закрыт аффинаж Au: 2025-12-19 13:31 Аффинаж Au - Расход - Тверская 14 === Закрыл: admin, ID записи: 12029
2025-12-19 13:52 Закрыт аффинаж Ag: 2025-12-19 12:41 Аффинаж Ag - Расход - Тверская 14 === Закрыл: admin, ID записи: 12024
2025-12-19 13:55 Аффинаж Au - Расход - Тверская 14 === Запись занесена: admin, ID записи: 12045
