2025-03-16 12:04 Внесены изменения по металлу при внесении правок в операцию ID=4219, возврат пробы - 585 - 6г - Тверская 20 === Оператор: admin
2025-03-16 12:21 Внесены изменения по металлу при внесении правок в операцию ID=4219, возврат пробы - 999 - 5г - Тверская 20 === Оператор: admin
2025-03-16 12:22 Внесены изменения по металлу при внесении правок в операцию ID=4219, забор пробы - 585 - 6г - Тверская 20 === Оператор: admin
2025-03-16 12:23 Внесены изменения по металлу при внесении правок в операцию ID=4219, возврат пробы - 585 - 6г - Тверская 20 === Оператор: admin
2025-03-16 12:23 Внесены изменения по металлу при внесении правок в операцию ID=4219, забор пробы - 999 - 5г - Тверская 20 === Оператор: admin
2025-03-16 12:25 Внесены изменения по металлу при внесении правок в операцию ID=4219, возврат пробы - 999 - 5г - Тверская 20 === Оператор: admin
2025-03-16 12:26 Внесены изменения по металлу при внесении правок в операцию ID=4219, забор пробы - 585 - 6г - Тверская 20 === Оператор: admin
2025-03-16 12:27 Внесены изменения по металлу при внесении правок в операцию ID=4219, возврат пробы - 585 - 6г - Тверская 20 === Оператор: admin
2025-03-16 12:27 Внесены изменения по металлу при внесении правок в операцию ID=4219, забор пробы - 999 - 5г - Тверская 20 === Оператор: admin
2025-03-16 12:41 Внесены изменения по кассовой операции при внесении правок в операцию ID=4219, сумма изменилась на: -1000р - Тверская 20 === Оператор: admin
2025-03-16 12:42 Внесены изменения по кассовой операции при внесении правок в операцию ID=4219, сумма изменилась на: 1000р - Тверская 20 === Оператор: admin
2025-03-16 12:49 Внесены изменения по кассовой операции ID=4220 при внесении правок в операцию ID=4219, сумма изменилась на: -1000р - Тверская 20 === Оператор: admin
2025-03-16 12:49 Внесены изменения по кассовой операции ID=4220 при внесении правок в операцию ID=4219, сумма изменилась на: 1000р - Тверская 20 === Оператор: admin
2025-03-16 12:57 Внесены изменения по кассовой операции ID=4220 при внесении правок в операцию ID=4219, сумма изменилась на: -1000р - Тверская 20 === Оператор: admin
2025-03-16 12:59 Внесены изменения по кассовой операции ID=4220 при внесении правок в операцию ID=4219, сумма изменилась на: 1000р - Тверская 20 === Оператор: admin
2025-03-16 13:15 Внесены изменения по кассовой операции ID=4220 при внесении правок в операцию ID=4219, сумма изменилась на: -1000р - Тверская 20 === Оператор: admin
2025-03-16 13:17 Внесены изменения по кассовой операции ID=4220 при внесении правок в операцию ID=4219, сумма изменилась на: 1000р - Тверская 20 === Оператор: admin
2025-03-16 13:18 Внесены изменения по кассовой операции ID=4220 при внесении правок в операцию ID=4219, сумма изменилась на: -1000р - Тверская 20 === Оператор: admin
2025-03-16 13:19 Внесены изменения по кассовой операции ID=4220 при внесении правок в операцию ID=4219, сумма изменилась на: -1000р - Тверская 20 === Оператор: admin
2025-03-16 13:20 Внесены изменения по кассовой операции ID=4220 при внесении правок в операцию ID=4219, сумма изменилась на: -1000р - Тверская 20 === Оператор: admin
2025-03-16 13:21 Внесены изменения по кассовой операции ID=4220 при внесении правок в операцию ID=4219, сумма изменилась на: -1000р - Тверская 20 === Оператор: admin
2025-03-16 13:21 Внесены изменения по кассовой операции ID=4220 при внесении правок в операцию ID=4219, сумма изменилась на: 1000р - Тверская 20 === Оператор: admin
2025-03-16 13:22 Внесены изменения по кассовой операции ID=4220 при внесении правок в операцию ID=4219, сумма изменилась на: 1000р - no_point === Оператор: no_operator
2025-03-16 13:23 Внесены изменения по кассовой операции ID=4220 при внесении правок в операцию ID=4219, сумма изменилась на: -1000р - Тверская 20 === Оператор: admin
2025-03-16 13:24 Внесены изменения по кассовой операции ID=4220 при внесении правок в операцию ID=4219, сумма изменилась на: 1000р - Тверская 20 === Оператор: admin
2025-03-16 13:24 Внесены изменения по кассовой операции ID=4220 при внесении правок в операцию ID=4219, сумма изменилась на: 1000р - Тверская 20 === Оператор: admin
2025-03-16 13:25 Внесены изменения по кассовой операции ID=4220 при внесении правок в операцию ID=4219, сумма изменилась на: 1000р - Тверская 20 === Оператор: admin
2025-03-16 13:25 Внесены изменения по кассовой операции ID=4220 при внесении правок в операцию ID=4219, сумма изменилась на: -1000р - Тверская 20 === Оператор: admin
2025-03-16 13:25 Внесены изменения по кассовой операции ID=4220 при внесении правок в операцию ID=4219, сумма изменилась на: 1000р - Тверская 20 === Оператор: admin
2025-03-16 13:38 Внесены изменения по металлу при внесении правок в операцию ID=4219, изменения остатков пробы - 999 на -1г - Тверская 20 === Оператор: admin
2025-03-16 13:39 Внесены изменения по металлу при внесении правок в операцию ID=4219, изменения остатков пробы - 999 на 1г - Тверская 20 === Оператор: admin
2025-03-16 13:39 Внесены изменения по кассовой операции ID=4220 при внесении правок в операцию ID=4219, сумма изменилась на: 8900р - Тверская 20 === Оператор: admin
